id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02850	1074	1047	355	1171	3609	1376
TIGR00388	423	417	44	494	1417	527
TIGR00389	6	8	0	26	81	29
TIGR01394	4024	3847	570	4287	12866	5342
TIGR01395	322	331	31	532	1897	668
TIGR01396	162	151	10	203	846	223
TIGR01397	409	383	12	569	2031	744
TIGR01391	407	368	23	454	1853	544
TIGR01392	232	147	22	325	883	301
TIGR01393	2648	2602	307	3040	9815	3964
TIGR00148	457	360	29	417	1481	571
TIGR00149	149	128	6	203	683	278
TIGR01398	881	685	40	1093	3825	1377
TIGR01399	950	700	50	1161	4074	1416
TIGR01552	2	0	0	14	159	5
TIGR01553	907	797	68	1150	3540	1366
TIGR01551	17	19	0	2	16	2
TIGR01554	569	430	26	59	54	109
TIGR01555	251	182	31	719	1591	768
TIGR00608	338	340	22	974	2040	766
TIGR02966	4871	4325	235	5864	22683	7378
TIGR03540	960	870	82	1549	4947	1856
TIGR03547	9	14	0	0	4	6
TIGR04266	474	416	12	449	1453	430
TIGR04265	354	305	18	397	1947	527
TIGR02967	341	254	9	432	1536	528
TIGR03549	113	134	9	60	297	105
TIGR03548	9	14	0	0	4	6
TIGR01088	127	59	13	190	519	253
TIGR04060	3	5	3	118	384	76
TIGR04063	475	413	34	530	2179	643
TIGR00057	300	258	10	320	953	320
TIGR01081	804	703	32	943	3280	1146
TIGR01082	1360	1170	43	1888	6555	2210
TIGR01083	278	225	7	323	1045	378
TIGR01084	218	189	14	450	1280	431
TIGR01085	631	520	24	704	2196	715
TIGR01087	805	669	37	1103	4069	1287
TIGR02960	260	207	8	274	775	301
TIGR02420	116	103	5	119	401	112
TIGR02708	49	43	7	101	289	127
TIGR02709	0	2	4	29	127	20
TIGR02706	6	9	6	40	270	28
TIGR02707	10	51	1	57	318	25
TIGR02702	13	22	0	10	33	11
TIGR00564	936	857	36	1234	4231	1487
TIGR00565	604	584	31	743	2586	901
TIGR00566	233	267	23	263	1068	408
TIGR00560	54	34	2	82	245	82
TIGR00561	529	470	29	556	1817	698
